gene,coef,description
ARHGAP9,0.00803373442711636,Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:HGNC:14130]
CCDC69,0.011820063348339,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]
EIF2C1,-0.018496893028389,NA
EPHX3,-9.71075246957838e-05,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]
FLJ37453,-0.0101880473147635,NA
GSTO2,-0.00462358816549176,glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]
ITGAL,0.0115101077041672,integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]
MUL1,0.0173844519541303,mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]
PDPN,0.00356577492128321,podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]
PRPSAP1,-0.00670645840786155,phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]
RAB7L1,0.0126827433215045,NA
SRCRB4D,-0.00289118734401132,NA
