gene,coef,description
ACAA2,-0.0856502464002597,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
AIF1L,0.0419123495475791,allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]
C2orf34,-0.110642012089074,NA
C5orf33,-0.1116251282378,NA
EPHX3,-0.0329393034329424,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]
GPR65,0.0580185779999774,G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]
LOC650368,-0.12260074371718,NA
PRKCE,-0.0886068432111987,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]
RAC2,0.118976141591871,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
TNFRSF10D,-0.0538230918011946,TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]
VILL,-0.0604702078937067,villin like [Source:HGNC Symbol;Acc:HGNC:30906]
ZNF839,0.16429467719165,zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]
