gene	description	Freq
ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	9
RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	5
RCOR2	REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455]	5
PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	5
AIF1L	allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]	4
LOC650368	NA	4
BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	3
EPHX3	epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]	3
GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	3
KIAA0495	NA	3
SRCRB4D	NA	3
CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]	3
PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	3
PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	3
EVI5L	ecotropic viral integration site 5 like [Source:HGNC Symbol;Acc:HGNC:30464]	2
C2orf34	NA	2
VILL	villin like [Source:HGNC Symbol;Acc:HGNC:30906]	2
C20orf134	NA	2
TNFRSF10D	TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]	2
GSTO2	glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]	2
RNF167	ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]	2
TFAP2E	transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]	2
DFFA	DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	2
EIF5B	eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]	2
SLC6A10P	solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]	2
C19orf51	NA	2
CDHR1	cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]	2
RASGEF1A	RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]	2
SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	2
SLC16A5	solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]	2
PLK1S1	NA	2
HMGN5	high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013]	2
C9orf89	NA	2
TRAF3IP1	TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]	2
LOC729603	NA	1
MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	1
NAIF1	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]	1
CCDC102A	coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]	1
CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	1
SNAPC3	small nuclear RNA activating complex polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:11136]	1
TAF3	TATA-box binding protein associated factor 3 [Source:HGNC Symbol;Acc:HGNC:17303]	1
