gene,description,Freq
TNFSF12,TNF superfamily member 12 [Source:HGNC Symbol;Acc:HGNC:11927],5
C7orf46,NA,5
SH3PXD2A,SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664],4
IRAK3,interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020],3
ZNF518B,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365],3
ADPRH,ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269],3
KLF11,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811],2
MGC12982,NA,2
MANEAL,mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452],2
RPP25,ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361],2
ACCN3,NA,2
BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],1
NRSN2,neurensin 2 [Source:HGNC Symbol;Acc:HGNC:16229],1
SLC38A2,solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448],1
FAM164C,NA,1
GALC,galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115],1
SHQ1,SHQ1, H/ACA ribonucleoprotein assembly factor [Source:HGNC Symbol;Acc:HGNC:25543],1
TPMT,thiopurine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:12014],1
C11orf74,chromosome 11 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:25142],1
CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455],1
IMPACT,impact RWD domain protein [Source:HGNC Symbol;Acc:HGNC:20387],1
FAM109B,family with sequence similarity 109 member B [Source:HGNC Symbol;Acc:HGNC:27161],1
GLO1,glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323],1
LDLRAD2,low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071],1
SQRDL,NA,1
ITPRIPL2,ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257],1
LOC100128288,NA,1
MTX3,metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812],1
C1orf104,NA,1
DNAJA4,DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885],1
TMEM126B,transmembrane protein 126B [Source:HGNC Symbol;Acc:HGNC:30883],1
FHDC1,FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363],1
PDSS1,decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759],1
RAB11FIP1,RAB11 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30265],1
ZBTB20,zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503],1
ANKMY1,ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987],1
CIDEB,cell death-inducing DFFA-like effector b [Source:HGNC Symbol;Acc:HGNC:1977],1
ELMO1,engulfment and cell motility 1 [Source:HGNC Symbol;Acc:HGNC:16286],1
QRICH2,glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326],1
BNIP3,BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084],1
FXR2,FMR1 autosomal homolog 2 [Source:HGNC Symbol;Acc:HGNC:4024],1
ICOSLG,inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087],1
HCG11,HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707],1
TSSK3,testis specific serine kinase 3 [Source:HGNC Symbol;Acc:HGNC:15473],1
ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144],1
KIAA0495,NA,1
MUC5B,mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516],1
RAPGEFL1,Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428],1
ANUBL1,NA,1
ARRDC5,arrestin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:31407],1
LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],1
SEPN1,NA,1
SLC25A19,solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409],1
