gene,coef,description
CLECL1,0.0269415709216023,C-type lectin like 1 [Source:HGNC Symbol;Acc:HGNC:24462]
CTF1,-0.0881733488939608,cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]
DNAJC15,-0.072779869442445,DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]
MGC12982,0.0619984220332669,NA
MTHFR,-0.171913101788242,methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]
MTX3,-0.049615592915938,metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812]
MYO15A,-0.112213119895226,myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]
NBR1,-0.162874579416123,NBR1, autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]
RPP25,-0.0831690626428539,ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]
SQLE,-0.108848354142396,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]
TSSK3,0.168250146093397,testis specific serine kinase 3 [Source:HGNC Symbol;Acc:HGNC:15473]
