gene	description	Freq
ZNF518B	zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]	7
TNFSF12	TNF superfamily member 12 [Source:HGNC Symbol;Acc:HGNC:11927]	6
MGC12982	NA	5
ACCN3	NA	4
CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]	4
RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	4
C7orf46	NA	4
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	2
FAM109B	family with sequence similarity 109 member B [Source:HGNC Symbol;Acc:HGNC:27161]	2
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	2
MTX3	metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812]	2
C5orf43	NA	2
CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	2
C9orf64	chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]	2
C1orf59	NA	2
ZBTB38	zinc finger and BTB domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26636]	2
ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	1
SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	1
PLEKHB1	pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]	1
CLECL1	C-type lectin like 1 [Source:HGNC Symbol;Acc:HGNC:24462]	1
MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	1
MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	1
NBR1	NBR1, autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]	1
SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	1
TSSK3	testis specific serine kinase 3 [Source:HGNC Symbol;Acc:HGNC:15473]	1
CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	1
C9orf21	NA	1
CSDA	NA	1
DNASE1L2	deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]	1
TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]	1
ZNF268	zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061]	1
C11orf95	chromosome 11 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:28449]	1
LDLRAD2	low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071]	1
ACTR3B	ARP3 actin related protein 3 homolog B [Source:HGNC Symbol;Acc:HGNC:17256]	1
CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	1
ZNF662	zinc finger protein 662 [Source:HGNC Symbol;Acc:HGNC:31930]	1
GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	1
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]	1
ROGDI	rogdi homolog [Source:HGNC Symbol;Acc:HGNC:29478]	1
C6orf89	chromosome 6 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:21114]	1
EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	1
PNMA3	PNMA family member 3 [Source:HGNC Symbol;Acc:HGNC:18742]	1
AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	1
CIDEB	cell death-inducing DFFA-like effector b [Source:HGNC Symbol;Acc:HGNC:1977]	1
CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	1
DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	1
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]	1
CXCR7	NA	1
LOC115110	NA	1
C1orf163	NA	1
C20orf194	chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]	1
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1
IMPACT	impact RWD domain protein [Source:HGNC Symbol;Acc:HGNC:20387]	1
SLC25A36	solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]	1
MANEAL	mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]	1
FAM179A	NA	1
