gene,coef,description
ADM,-0.00713899572681894,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
AGPAT9,0.00441748018458302,NA
B3GALNT1,-0.00685462609379964,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
DNALI1,-0.00140152401169789,dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]
GPR160,0.0103520030984081,G protein-coupled receptor 160 [Source:HGNC Symbol;Acc:HGNC:23693]
HCG11,-0.00959257018728884,HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707]
KRT18,-0.00761536509412799,keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]
MANEAL,0.00526524207749633,mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]
PPME1,-0.000850674955627652,protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]
RILPL2,0.00481625323182922,Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787]
