gene,coef,description
ADM,-0.006609215799301,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
C1orf59,-0.00663092421153827,NA
COL9A2,-0.00355334748507344,collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
DCBLD1,-0.00756003024935843,discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21479]
EVC2,-0.0056358120315389,EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]
FAM164C,-0.00776418086442968,NA
GALNT12,-0.00369307906054628,polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]
LDLR,-0.00239226082334165,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]
LY6G5C,-0.0171236706762291,lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]
PAQR7,-0.008484671925468,progestin and adipoQ receptor family member 7 [Source:HGNC Symbol;Acc:HGNC:23146]
PPT1,0.0126802731583699,palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]
PRDX1,-0.00519246361591762,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]
PSAT1,-0.00415233524345447,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]
RIMKLA,0.000701547237399752,ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725]
TMEM144,-0.00429086784550296,transmembrane protein 144 [Source:HGNC Symbol;Acc:HGNC:25633]
VILL,-0.00853326855792337,villin like [Source:HGNC Symbol;Acc:HGNC:30906]
ZNF518B,-0.00609365637699328,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]
ZNF532,-0.0196156957675713,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]
