gene,coef,description
ADM,-0.0562106936453816,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
B3GALNT1,-0.0676878470755214,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
BOLA1,-0.0541360379539269,bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]
DNALI1,-0.0499253201975133,dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]
ENO1,-0.0675952293717166,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]
GPR160,0.12264049198114,G protein-coupled receptor 160 [Source:HGNC Symbol;Acc:HGNC:23693]
HCG11,-0.0246228071458874,HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707]
KRT8,-0.0312132154270555,keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]
MUC1,0.0416780701343662,mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]
NUDT18,0.0522020234170008,nudix hydrolase 18 [Source:HGNC Symbol;Acc:HGNC:26194]
PLEKHG1,0.080482128768268,pleckstrin homology and RhoGEF domain containing G1 [Source:HGNC Symbol;Acc:HGNC:20884]
RAC2,0.118660662259779,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
SPOCK2,0.0603769206819256,SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]
