gene,coef,description
ADM,-0.0852760645208271,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
ANG,0.109231923320397,angiogenin [Source:HGNC Symbol;Acc:HGNC:483]
DEPDC7,-0.0732827606350915,DEP domain containing 7 [Source:HGNC Symbol;Acc:HGNC:29899]
EVC2,-0.0648176070951314,EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]
FAM164C,-0.118934975026775,NA
GRAMD1A,-0.195712812515231,GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]
LY6G5C,-0.126401959532565,lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]
SNX7,-0.0709292389681441,sorting nexin 7 [Source:HGNC Symbol;Acc:HGNC:14971]
ZNF167,-0.11759013837718,NA
ZNF532,-0.114204369539339,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]
