gene,description,Freq
DNALI1,dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353],10
ADM,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259],6
EFNB3,ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228],5
B3GALNT1,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918],5
ME1,malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983],4
HCG11,HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707],4
ZNF167,NA,4
PDZD4,PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167],4
HSPB6,heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511],3
EVC2,EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747],3
KRT8,keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446],3
ANK2,ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493],3
MIF,macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097],3
TLE2,transducin like enhancer of split 2 [Source:HGNC Symbol;Acc:HGNC:11838],3
KRT18,keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430],2
FKBP1B,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712],2
RINL,Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795],2
ZNF518B,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365],2
ZNF532,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940],2
COL11A2,collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187],2
PSAT1,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129],2
RND2,Rho family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:18315],2
KLF5,Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349],1
LTBP4,latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717],1
NDRG4,NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466],1
SLC38A5,solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070],1
ZNF282,zinc finger protein 282 [Source:HGNC Symbol;Acc:HGNC:13076],1
FOLR2,folate receptor beta [Source:HGNC Symbol;Acc:HGNC:3793],1
INO80C,INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994],1
LOC729799,NA,1
RILPL2,Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787],1
ST6GALNAC4,ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:17846],1
