id,gene,description
cg00084643,PHAX,phosphorylated adaptor for RNA export [Source:HGNC Symbol;Acc:HGNC:10241]
cg00090609,PRDM4,PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]
cg00101715,FAM55C,NA
cg00152175,AMFR,autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]
cg00154968,CDK13,cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]
cg00218631,NUCB2,nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]
cg00222995,ZBTB9,zinc finger and BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28323]
cg00242976,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg00283576,KCNQ1,potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
cg00390775,PRUNE2,prune homolog 2 [Source:HGNC Symbol;Acc:HGNC:25209]
cg00409245,LEMD2,LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21244]
cg00427296,MYH10,myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]
cg00489219,ZNF621,zinc finger protein 621 [Source:HGNC Symbol;Acc:HGNC:24787]
cg00514575,MGAT1,mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]
cg00564164,ZNF563,zinc finger protein 563 [Source:HGNC Symbol;Acc:HGNC:30498]
cg00660163,MEX3A,mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482]
cg00678158,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]
cg00704288,ST3GAL3,ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]
cg00742603,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
cg00762160,PAX9,paired box 9 [Source:HGNC Symbol;Acc:HGNC:8623]
cg00776080,TENC1,NA
cg00797346,MEIS2,Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]
cg00820919,PLEKHH2,pleckstrin homology, MyTH4 and FERM domain containing H2 [Source:HGNC Symbol;Acc:HGNC:30506]
cg00883311,EHBP1,EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]
cg00934624,PTGR2,prostaglandin reductase 2 [Source:HGNC Symbol;Acc:HGNC:20149]
cg00946479,FOXRED2,FAD dependent oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26264]
cg00950809,MOBKL2C,NA
cg01009697,NTRK2,neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]
cg01056945,RHOQ,ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]
cg01159601,D4S234E,NA
cg01210909,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
cg01245423,FANCC,Fanconi anemia complementation group C [Source:HGNC Symbol;Acc:HGNC:3584]
cg01265662,CCDC150,coiled-coil domain containing 150 [Source:HGNC Symbol;Acc:HGNC:26834]
cg01329511,SMYD5,SMYD family member 5 [Source:HGNC Symbol;Acc:HGNC:16258]
cg01341755,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
cg01396418,PEX11G,peroxisomal biogenesis factor 11 gamma [Source:HGNC Symbol;Acc:HGNC:20208]
cg01470323,SLC29A2,solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]
cg01471153,GOLGA8B,golgin A8 family member B [Source:HGNC Symbol;Acc:HGNC:31973]
cg01472538,SETD6,SET domain containing 6 [Source:HGNC Symbol;Acc:HGNC:26116]
cg01496600,GMDS,GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:4369]
cg01668452,ATF3,activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]
cg01724150,NMNAT3,nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989]
cg01862266,CMTM4,CKLF like MARVEL transmembrane domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19175]
cg01985858,OBFC2B,NA
cg02045669,PTPN13,protein tyrosine phosphatase, non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]
cg02062123,SLC46A1,solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]
cg02073318,SCMH1,Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]
cg02085838,TRIO,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
cg02126446,VGLL3,vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]
cg02203542,SOX12,SRY-box 12 [Source:HGNC Symbol;Acc:HGNC:11198]
cg02298193,RNF145,ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]
cg02359346,VPS4B,vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]
cg02456791,RAD21,RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]
cg02477448,H1F0,H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]
cg02535111,TRMT11,tRNA methyltransferase 11 homolog [Source:HGNC Symbol;Acc:HGNC:21080]
