id,gene,description
cg00164898,MAPK11,mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]
cg01777397,CLIP4,CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
cg01932215,AMMECR1L,AMMECR1 like [Source:HGNC Symbol;Acc:HGNC:28658]
cg02959669,ZNF256,zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]
cg03690162,BAG3,BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]
cg03860466,PRDX2,peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]
cg04587829,FN3K,fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822]
cg05674199,AHCY,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
cg06915165,GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
cg06987504,EIF3E,eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]
cg08996521,CISH,cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]
cg10196289,NSMAF,neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]
cg10207787,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]
cg10954182,NFYB,nuclear transcription factor Y subunit beta [Source:HGNC Symbol;Acc:HGNC:7805]
cg11316784,NSD1,nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]
cg11518240,FKBP4,FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]
cg12099051,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]
cg13833831,MATK,megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]
cg16330965,SNAPC5,small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]
cg18272264,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]
cg18601426,PTPRN2,protein tyrosine phosphatase, receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]
cg19038228,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]
cg19569684,MGC29506,NA
cg22748452,SRXN1,sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]
cg24687335,SLC37A4,solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]
cg26727372,ME2,malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]
