id,gene,description
cg00231918,SH3BP2,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
cg00345314,SGK3,serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]
cg00592510,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]
cg00771553,VANGL1,VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]
cg00817502,SEC24D,SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]
cg00819362,CLIP3,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]
cg00926285,PARP14,poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]
cg00954566,SCD,stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
cg00997424,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
cg01015879,RDX,radixin [Source:HGNC Symbol;Acc:HGNC:9944]
cg01128566,SVIL,supervillin [Source:HGNC Symbol;Acc:HGNC:11480]
cg01366338,ALDH4A1,aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]
cg01376079,SSH3,slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]
cg01485548,IFI30,IFI30, lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]
cg02028389,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]
cg02186782,RYR3,ryanodine receptor 3 [Source:HGNC Symbol;Acc:HGNC:10485]
cg02534661,NR3C2,nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]
cg02628881,KIAA0355,KIAA0355 [Source:HGNC Symbol;Acc:HGNC:29016]
cg02659117,KIAA0232,KIAA0232 [Source:HGNC Symbol;Acc:HGNC:28992]
cg02727227,MBOAT2,membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]
cg02943290,C1orf198,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
cg03001832,HTATIP2,HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]
cg03077453,ZNF528,zinc finger protein 528 [Source:HGNC Symbol;Acc:HGNC:29384]
cg03785076,SNED1,sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]
cg04051335,C5orf62,NA
cg04933954,DEM1,NA
cg05230759,SIDT2,SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]
cg05346899,LASS4,NA
cg05897169,SLFN5,schlafen family member 5 [Source:HGNC Symbol;Acc:HGNC:28286]
cg05927068,THEM4,thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]
cg06254964,C7orf49,chromosome 7 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:22432]
cg06495038,CRHBP,corticotropin releasing hormone binding protein [Source:HGNC Symbol;Acc:HGNC:2356]
cg06686229,CUX1,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]
cg06795635,PARP8,poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]
cg07203320,COPB2,coatomer protein complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]
cg07440387,SFRS6,NA
cg07450086,SELT,NA
cg07660236,ZSCAN12,zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]
cg08491221,TAOK1,TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]
cg08902132,ETF1,eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]
cg09079275,ADAM19,ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]
cg09569536,RIMKLB,ribosomal modification protein rimK like family member B [Source:HGNC Symbol;Acc:HGNC:29228]
cg11086066,NFATC2,nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776]
cg11683732,C7orf23,NA
cg11713493,PLD6,phospholipase D family member 6 [Source:HGNC Symbol;Acc:HGNC:30447]
cg12896751,SEMA4C,semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]
cg12914014,USP7,ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]
cg13343565,PLD2,phospholipase D2 [Source:HGNC Symbol;Acc:HGNC:9068]
cg13612524,ERLIN2,ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]
cg13648501,NR3C1,nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]
cg14167139,KDELC2,KDEL motif containing 2 [Source:HGNC Symbol;Acc:HGNC:28496]
cg14525897,ARHGAP19,Rho GTPase activating protein 19 [Source:HGNC Symbol;Acc:HGNC:23724]
cg15292101,CCDC136,coiled-coil domain containing 136 [Source:HGNC Symbol;Acc:HGNC:22225]
cg15760943,ETV5,ETS variant 5 [Source:HGNC Symbol;Acc:HGNC:3494]
cg18599996,GYG1,glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699]
cg19040483,DLC1,DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]
cg19202325,WBSCR16,NA
cg19631472,LDHA,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]
cg20167074,S100A10,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]
cg20397543,ELOVL5,ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]
cg20410135,ZNF354A,zinc finger protein 354A [Source:HGNC Symbol;Acc:HGNC:11628]
cg21633208,SH2B3,SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]
cg22630875,DOCK5,dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]
cg22662788,PNPLA6,patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]
cg23684521,NPTN,neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]
cg24843443,DDX60L,DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]
cg26178446,OBFC2A,NA
cg26839807,ZNF563,zinc finger protein 563 [Source:HGNC Symbol;Acc:HGNC:30498]
cg27275523,KCTD12,potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]
cg27440050,MAPK7,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
cg27498387,ANK1,ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]
