id,gene,description
cg00011122,C16orf75,NA
cg00044289,POP5,POP5 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:17689]
cg00051068,JAG1,jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
cg00094256,ANAPC4,anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]
cg00231644,TUBB2A,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]
cg00269643,TSPAN33,tetraspanin 33 [Source:HGNC Symbol;Acc:HGNC:28743]
cg00273124,NHP2,NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]
cg00292664,HK1,hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]
cg00357213,FAM188A,NA
cg00409245,LEMD2,LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21244]
cg00415822,ZNF419,zinc finger protein 419 [Source:HGNC Symbol;Acc:HGNC:20648]
cg00423443,CDH13,cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]
cg00506540,HAUS3,HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]
cg00533364,ZNF331,zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]
cg00583303,FAM134B,NA
cg00694371,COPS7A,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]
cg00748373,CDH3,cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]
cg00754027,KIF14,kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]
cg00782174,SLC1A5,solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]
cg00937742,LYPD1,LY6/PLAUR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28431]
cg01054622,KIF17,kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167]
cg01069104,SATB1,SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]
cg01129886,C20orf112,NA
cg01205267,LRCH1,leucine rich repeats and calponin homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]
cg01305745,VKORC1,vitamin K epoxide reductase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23663]
cg01369341,ROGDI,rogdi homolog [Source:HGNC Symbol;Acc:HGNC:29478]
cg01373024,NACAD,NAC alpha domain containing [Source:HGNC Symbol;Acc:HGNC:22196]
cg01394093,SLC39A8,solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]
cg01394819,PODN,podocan [Source:HGNC Symbol;Acc:HGNC:23174]
cg01404873,DLEU2,deleted in lymphocytic leukemia 2 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:13748]
cg01472113,UGCG,UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]
cg01557749,TDRD3,tudor domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20612]
cg01560900,OPN3,opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]
cg01570885,FAM50B,family with sequence similarity 50 member B [Source:HGNC Symbol;Acc:HGNC:18789]
