id,gene,description
cg01044662,C2orf3,NA
cg01087382,MAP3K7,mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]
cg02631906,PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]
cg04424621,HIST1H2BJ,histone cluster 1 H2B family member j [Source:HGNC Symbol;Acc:HGNC:4761]
cg06197006,CRK,CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]
cg07473175,AMIGO2,adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]
cg09419116,SEC11C,SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]
cg10559803,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]
cg13108328,PLEKHA5,pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]
cg14764661,MRC2,mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]
cg15444978,MARK3,microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]
cg15664905,PHLDB3,pleckstrin homology like domain family B member 3 [Source:HGNC Symbol;Acc:HGNC:30499]
cg17329164,PPT2,palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]
cg18433086,ABL2,ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]
cg20308817,CLEC11A,C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]
cg20392764,ASCL2,achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]
cg24056567,PSD3,pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]
cg24237576,DNASE1L2,deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]
cg24453664,CD59,CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]
cg26803566,SGPP1,sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]
cg27072387,LTBP1,latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]
cg27613076,INPP5F,inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]
