id,gene,description
cg00186141,PODXL,podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]
cg00986320,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
cg01838317,GCH1,GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]
cg02490034,MEST,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]
cg02862153,CUX1,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]
cg03891319,ACY1,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]
cg03922337,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]
cg04044684,CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
cg04230060,SUSD1,sushi domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25413]
cg04235146,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]
cg04749104,STEAP3,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]
cg04794505,PBX3,PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]
cg05923103,RNF11,ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]
cg05938285,PIGZ,phosphatidylinositol glycan anchor biosynthesis class Z [Source:HGNC Symbol;Acc:HGNC:30596]
cg06750167,TESC,tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]
cg07160163,SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]
cg07440414,TCF7,transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]
cg07660236,ZSCAN12,zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]
cg08222662,ZC3HAV1,zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]
cg08428707,CHMP4B,charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
cg09086761,MTA2,metastasis associated 1 family member 2 [Source:HGNC Symbol;Acc:HGNC:7411]
cg09259772,ARL4A,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
cg09881917,FUK,fucokinase [Source:HGNC Symbol;Acc:HGNC:29500]
cg09990086,TACC1,transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]
cg10716163,MUM1,melanoma associated antigen (mutated) 1 [Source:HGNC Symbol;Acc:HGNC:29641]
cg11086066,NFATC2,nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776]
cg11108432,PINX1,PIN2/TERF1 interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]
cg11223252,RNF103,ring finger protein 103 [Source:HGNC Symbol;Acc:HGNC:12859]
cg11320084,RNF2,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]
cg11800672,SLC39A4,solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]
