id,gene,description
cg00466249,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
cg00854995,SKP1,S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]
cg01148741,DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
cg01653110,VAMP4,vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]
cg01794711,CNDP2,carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]
cg03005261,CCDC109B,NA
cg03856786,ZNF497,zinc finger protein 497 [Source:HGNC Symbol;Acc:HGNC:23714]
cg03887534,BCL2L13,BCL2 like 13 [Source:HGNC Symbol;Acc:HGNC:17164]
cg04269351,VTI1B,vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]
cg04581377,SLC35F2,solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615]
cg06618866,TLR2,toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]
cg07685869,KIFC3,kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]
cg07929310,KIAA0513,KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]
cg08510456,BSN,bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117]
cg09079275,ADAM19,ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]
cg09879797,WSB2,WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]
cg10957584,FAM86A,NA
cg11905589,PAIP2,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970]
cg12513481,SKAP1,src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15605]
cg15379237,B4GALT2,beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]
cg16312647,PPIB,peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]
cg17210604,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]
cg19222480,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg20091959,L3MBTL,NA
cg22215520,PAIP1,poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]
cg24215727,ABCD3,ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]
