gene,coef,description
ACAA2,-0.0146575871374765,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
ASNA1,0.017305999054816,arsA arsenite transporter, ATP-binding, homolog 1 (bacterial) [Source:HGNC Symbol;Acc:HGNC:752]
C20orf134,-0.00539578638181999,NA
CFL2,0.00766770593550459,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
FKBP1B,-0.00527490130896658,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]
G0S2,-0.00693588740114006,G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]
GSPT2,-0.00266637568889988,G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622]
HMGN5,-0.00401761670918238,high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013]
MANEAL,0.00350072035102227,mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]
PHYHD1,-0.00186876181613141,phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]
PLBD1,-0.00298712183636052,phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]
PMM2,-0.00904669617844541,phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]
RAC2,0.00951283596185321,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
RASGEF1A,-0.00123308406666165,RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]
RBM38,-0.00838951215580925,RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]
TCHH,-0.00321521301993455,trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]
TNNT1,0.00169082862964217,troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]
ZNF614,-0.00573119006978185,zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]
ZNF91,-0.00419898530257304,zinc finger protein 91 [Source:HGNC Symbol;Acc:HGNC:13166]
