gene,coef,description
CCDC69,0.123831133978865,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]
CFL2,0.108493366691153,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
GALK2,-0.12791874922973,galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]
GPRIN1,0.0757417647242282,G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]
H19,-0.0250610877441248,H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]
KIAA0495,-0.0880173325982604,NA
MRPL30,0.133579727972423,mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]
PHYHD1,-0.0394997194404994,phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]
PML,0.183995788346659,promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]
RNF167,0.159996185266171,ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]
TFAP2E,-0.0460597949597257,transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]
