id,gene,description
cg00004818,AGA,aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]
cg00011122,C16orf75,NA
cg00023464,CARKD,NA
cg00026974,UBTF,upstream binding transcription factor, RNA polymerase I [Source:HGNC Symbol;Acc:HGNC:12511]
cg00040446,MYCL1,NA
cg00069261,CDR2,cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]
cg00076645,UBTD2,ubiquitin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24463]
cg00089464,LOC285830,NA
cg00092611,WAC,WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]
cg00137016,ZNF836,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
cg00143868,BTBD12,NA
cg00229232,MAP2K3,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
cg00238249,C6orf57,NA
cg00239870,CH25H,cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]
cg00260655,FRAT2,FRAT2, WNT signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:16048]
cg00273124,NHP2,NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]
cg00280991,TMEM194A,NA
cg00320027,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]
cg00331237,CSRP2,cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]
cg00356818,MTRF1L,mitochondrial translational release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]
cg00357213,FAM188A,NA
cg00366505,ZC3H18,zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:HGNC:25091]
cg00394040,IL10RA,interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]
cg00423443,CDH13,cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]
cg00429618,ZNF322B,NA
cg00474194,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
