id,gene,description
cg00128877,MKNK1,MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]
cg00381076,C18orf54,chromosome 18 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:13796]
cg00560119,STXBP1,syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]
cg00840516,HYAL2,hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
cg02564523,ORAI2,ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:HGNC:21667]
cg02668984,PDK2,pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
cg02712878,FAIM,Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]
cg03583857,CD34,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
cg03608974,ZAK,NA
cg04005725,KLHDC8B,kelch domain containing 8B [Source:HGNC Symbol;Acc:HGNC:28557]
cg04531710,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]
cg05705583,CAMLG,calcium modulating ligand [Source:HGNC Symbol;Acc:HGNC:1471]
cg07061145,DNAJA4,DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]
cg07086380,TNFAIP8,TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]
cg09290866,IL15RA,interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]
cg09462826,FADS1,fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]
cg09750385,GUCY1A3,NA
cg09870606,GLG1,golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]
cg11102782,ISYNA1,inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]
cg11953334,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
cg12324629,ULK2,unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]
cg12717668,ZNF655,zinc finger protein 655 [Source:HGNC Symbol;Acc:HGNC:30899]
cg13383490,TSG101,tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]
cg13421924,SC5DL,NA
cg14380517,BTG3,BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]
cg14528319,GIPC1,GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226]
cg16362133,SLC11A2,solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]
cg17648620,EFHC1,EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]
cg17891123,IQGAP1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]
cg20125091,GFI1,growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]
cg23668631,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]
cg25267732,CCDC112,coiled-coil domain containing 112 [Source:HGNC Symbol;Acc:HGNC:28599]
cg26135716,GLUL,glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]
