id,gene,description
cg00081574,EPHA4,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]
cg00262621,MMP23B,matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]
cg00508499,PDXP,pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]
cg00539564,ARFGAP3,ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]
cg00777926,GJB6,gap junction protein beta 6 [Source:HGNC Symbol;Acc:HGNC:4288]
cg00846300,ZNF543,zinc finger protein 543 [Source:HGNC Symbol;Acc:HGNC:25281]
cg00987379,ZNF395,zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]
cg01056350,HHAT,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
cg01265597,CAV1,caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]
cg01346718,CSNK1E,casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]
cg01522095,GGA2,golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]
cg01594949,NRARP,NOTCH regulated ankyrin repeat protein [Source:HGNC Symbol;Acc:HGNC:33843]
cg01641174,RCCD1,RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]
cg01795562,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:17168]
cg01944585,RAB37,RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]
cg02049522,MLF2,myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126]
cg02227453,ADM2,adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]
cg02229586,C7orf26,chromosome 7 open reading frame 26 [Source:HGNC Symbol;Acc:HGNC:21702]
cg02266086,COL11A2,collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]
cg02369140,ZNF862,zinc finger protein 862 [Source:HGNC Symbol;Acc:HGNC:34519]
cg02460120,USP15,ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]
cg02914429,HDGF,heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]
cg03101664,SNX15,sorting nexin 15 [Source:HGNC Symbol;Acc:HGNC:14978]
cg03103192,SPATA18,spermatogenesis associated 18 [Source:HGNC Symbol;Acc:HGNC:29579]
cg03125765,GATSL3,NA
cg03273025,LIG1,DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]
cg03328664,PFN2,profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]
cg03350493,RPAP1,RNA polymerase II associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24567]
cg04155793,CDK10,cyclin dependent kinase 10 [Source:HGNC Symbol;Acc:HGNC:1770]
cg04685459,TWF2,twinfilin actin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9621]
cg04848452,EIF1B,eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]
cg05398095,YOD1,YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]
cg05787193,PRKACB,protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]
cg06027949,SNX16,sorting nexin 16 [Source:HGNC Symbol;Acc:HGNC:14980]
cg06052619,PERP,PERP, TP53 apoptosis effector [Source:HGNC Symbol;Acc:HGNC:17637]
cg06417752,ATP5L,NA
cg07737814,ZMYM5,zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029]
cg08131100,KRBA1,KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]
cg09251995,JUND,JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]
cg09292875,LRP10,LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]
cg09720785,LRBA,LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]
cg09935994,ARL4C,ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]
cg10418598,SNX33,sorting nexin 33 [Source:HGNC Symbol;Acc:HGNC:28468]
cg11080430,ZNF624,zinc finger protein 624 [Source:HGNC Symbol;Acc:HGNC:29254]
cg11915090,LYSMD3,LysM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26969]
cg13531234,PAPOLA,poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]
cg14276242,ZNF594,zinc finger protein 594 [Source:HGNC Symbol;Acc:HGNC:29392]
cg14881567,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1 [Source:HGNC Symbol;Acc:HGNC:24634]
cg15275890,SLC25A17,solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]
cg16174196,TUBB,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]
cg16882097,NPC1,NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]
cg17398851,PRR24,NA
cg18087326,GPX7,glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]
cg18119609,MDM4,MDM4, p53 regulator [Source:HGNC Symbol;Acc:HGNC:6974]
cg18313221,MET,MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]
cg21534931,SDHB,succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]
cg22334632,TMEM160,transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042]
cg24109790,RASAL1,RAS protein activator like 1 [Source:HGNC Symbol;Acc:HGNC:9873]
