id,gene,description
cg00819362,CLIP3,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]
cg00850538,CRIM1,cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]
cg01015879,RDX,radixin [Source:HGNC Symbol;Acc:HGNC:9944]
cg01561916,HAAO,3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]
cg01934790,FBXL16,F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]
cg02983451,KLF11,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
cg03080985,SH3BGRL2,SH3 domain binding glutamate rich protein like 2 [Source:HGNC Symbol;Acc:HGNC:15567]
cg03773789,GLI4,GLI family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:4320]
cg05276137,SLC2A4RG,SLC2A4 regulator [Source:HGNC Symbol;Acc:HGNC:15930]
cg06043114,TSPAN2,tetraspanin 2 [Source:HGNC Symbol;Acc:HGNC:20659]
cg08500346,CTSH,cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]
cg13277160,FAM119A,NA
cg13960192,GNA11,G protein subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:4379]
cg15097876,PPA1,pyrophosphatase (inorganic) 1 [Source:HGNC Symbol;Acc:HGNC:9226]
cg15843217,PCGF3,polycomb group ring finger 3 [Source:HGNC Symbol;Acc:HGNC:10066]
cg16480145,RUSC2,RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625]
cg16899036,HOMER3,homer scaffolding protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]
cg17021265,CD2AP,CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]
cg19779211,KCNQ1,potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
cg22281207,MAT2A,methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]
cg24104611,C22orf9,NA
cg24286767,RNF181,ring finger protein 181 [Source:HGNC Symbol;Acc:HGNC:28037]
cg24523758,UBE2E3,ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]
cg25068445,TRAF2,TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]
cg25355803,MARVELD1,MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]
cg26778754,SSFA2,sperm specific antigen 2 [Source:HGNC Symbol;Acc:HGNC:11319]
cg26817573,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 [Source:HGNC Symbol;Acc:HGNC:4867]
