gene	description	Freq
DNALI1	dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]	10
ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	8
B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]	7
HCG11	HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707]	7
EFNB3	ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]	6
GPR160	G protein-coupled receptor 160 [Source:HGNC Symbol;Acc:HGNC:23693]	5
KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	5
MANEAL	mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]	4
GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	4
ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	3
ZNF167	NA	3
ZNF518B	zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]	3
FAM164C	NA	3
ZNF532	zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]	3
CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	2
KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	2
OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	2
SPATA2	spermatogenesis associated 2 [Source:HGNC Symbol;Acc:HGNC:14681]	2
PDZD4	PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]	2
TMEM25	transmembrane protein 25 [Source:HGNC Symbol;Acc:HGNC:25890]	2
SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	2
TMEM220	transmembrane protein 220 [Source:HGNC Symbol;Acc:HGNC:33757]	2
FLJ36031	NA	2
FCHO1	FCH domain only 1 [Source:HGNC Symbol;Acc:HGNC:29002]	2
HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	2
ARMCX2	armadillo repeat containing, X-linked 2 [Source:HGNC Symbol;Acc:HGNC:16869]	2
SERPINB9	serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]	2
SUSD1	sushi domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25413]	2
LY6G5C	lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]	2
PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	2
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]	1
IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	1
P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	1
TMEM173	transmembrane protein 173 [Source:HGNC Symbol;Acc:HGNC:27962]	1
AGPAT9	NA	1
PPME1	protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]	1
RILPL2	Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787]	1
CABYR	calcium binding tyrosine phosphorylation regulated [Source:HGNC Symbol;Acc:HGNC:15569]	1
NLRC3	NLR family CARD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29889]	1
SASH3	SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15975]	1
TLE2	transducin like enhancer of split 2 [Source:HGNC Symbol;Acc:HGNC:11838]	1
MRPL9	mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]	1
PHF15	NA	1
SLC6A10P	solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]	1
C7orf13	NA	1
COL11A2	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]	1
CPT1C	carnitine palmitoyltransferase 1C [Source:HGNC Symbol;Acc:HGNC:18540]	1
MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	1
NPTXR	neuronal pentraxin receptor [Source:HGNC Symbol;Acc:HGNC:7954]	1
SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	1
C19orf40	NA	1
CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	1
LSG1	large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]	1
RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	1
C16orf48	NA	1
DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	1
ICAM3	intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]	1
ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	1
KIF26A	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]	1
RPUSD3	RNA pseudouridylate synthase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28437]	1
STK24	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	1
LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	1
AKNA	AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]	1
ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	1
ZNF696	zinc finger protein 696 [Source:HGNC Symbol;Acc:HGNC:25872]	1
ATP6V1G2	ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]	1
PIF1	PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]	1
TMEM119	transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]	1
CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]	1
FAM149A	family with sequence similarity 149 member A [Source:HGNC Symbol;Acc:HGNC:24527]	1
ME3	malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]	1
OCIAD2	OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]	1
ANKLE1	ankyrin repeat and LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26812]	1
EFS	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]	1
BCL7A	BCL tumor suppressor 7A [Source:HGNC Symbol;Acc:HGNC:1004]	1
MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	1
MED6	mediator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:19970]	1
RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	1
SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]	1
FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	1
SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	1
IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	1
LASS4	NA	1
MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	1
PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	1
RINL	Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795]	1
GLIPR2	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]	1
PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	1
CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	1
PLCD1	phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]	1
PPP1R3D	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	1
RASAL3	RAS protein activator like 3 [Source:HGNC Symbol;Acc:HGNC:26129]	1
C3orf18	chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]	1
EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	1
GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	1
UBE2V1	ubiquitin conjugating enzyme E2 V1 [Source:HGNC Symbol;Acc:HGNC:12494]	1
ZSCAN12	zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]	1
ARL11	ADP ribosylation factor like GTPase 11 [Source:HGNC Symbol;Acc:HGNC:24046]	1
C1orf59	NA	1
