id,gene,description
cg00021527,TAF15,TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]
cg00090648,C1orf55,NA
cg00200063,USP32,ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]
cg00215214,TMEM55B,NA
cg00229245,DCLK2,doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]
cg00252813,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
cg00268500,UGP2,UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]
cg00292435,CKS2,CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]
cg00335744,ELL2,elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]
cg00336071,RPS27L,ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]
cg00399059,LYNX1,Ly6/neurotoxin 1 [Source:HGNC Symbol;Acc:HGNC:29604]
cg00484532,PLEKHA2,pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]
cg00601387,WDR36,WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]
cg00614157,REEP5,receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]
cg00643333,FAM118A,family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]
cg00791905,GFI1,growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]
cg00819362,CLIP3,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]
cg00822353,DGKE,diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]
cg00829456,FRYL,FRY like transcription coactivator [Source:HGNC Symbol;Acc:HGNC:29127]
cg00876127,BBS2,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]
cg00937518,EPHB2,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]
cg00959308,DIDO1,death inducer-obliterator 1 [Source:HGNC Symbol;Acc:HGNC:2680]
cg00990763,FAT4,FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]
cg01099453,GTPBP1,GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]
cg01108118,IRF4,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]
cg01128109,LRRC8B,leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]
cg01148741,DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
cg01163066,LPCAT3,lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]
cg01184560,ZSWIM6,zinc finger SWIM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:29316]
cg01279654,VGLL4,vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]
cg01287605,TTC38,tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]
cg01476569,ATMIN,ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]
cg01514859,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]
cg01629408,UBE2I,ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]
cg01722343,PI4K2B,phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]
cg01726103,FAM65B,NA
cg01924434,C19orf24,chromosome 19 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26073]
cg01924993,H2AFX,H2A histone family member X [Source:HGNC Symbol;Acc:HGNC:4739]
cg01997006,BCAS4,breast carcinoma amplified sequence 4 [Source:HGNC Symbol;Acc:HGNC:14367]
cg02083999,POLQ,DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]
cg02085507,TRIP10,thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]
cg02126435,RFWD3,ring finger and WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:25539]
cg02132760,LDHA,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]
cg02153089,PDDC1,NA
cg02212772,ZNF589,zinc finger protein 589 [Source:HGNC Symbol;Acc:HGNC:16747]
cg02236651,LIMD2,LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]
cg02289127,PREB,prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]
cg02510453,RPS3A,ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]
cg02525232,C11orf84,NA
cg02584489,ITGA9,integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]
cg02592214,IWS1,IWS1, SUPT6H interacting protein [Source:HGNC Symbol;Acc:HGNC:25467]
cg02594940,USF2,upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]
cg02679955,LLGL2,LLGL2, scribble cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:6629]
cg02690968,TRIM44,tripartite motif containing 44 [Source:HGNC Symbol;Acc:HGNC:19016]
cg02966153,GAMT,guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]
cg03050663,RNPEPL1,arginyl aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:10079]
cg03065311,ZNF512B,zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212]
cg03099611,PKD2,polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]
cg03140521,GNG12,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]
cg03173874,SFRS18,NA
cg03208983,MAGOHB,mago homolog B, exon junction complex core component [Source:HGNC Symbol;Acc:HGNC:25504]
cg03254627,PSME3,proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]
cg03288621,C11orf95,chromosome 11 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:28449]
cg03320441,KIF26B,kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]
cg03322548,ZNF141,zinc finger protein 141 [Source:HGNC Symbol;Acc:HGNC:12926]
cg03347985,OTUD6B,OTU domain containing 6B [Source:HGNC Symbol;Acc:HGNC:24281]
cg03372099,FAM168A,family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]
cg03386556,SLC16A1,solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]
cg03410903,DAGLA,diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]
cg03531512,TFIP11,tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:HGNC:17165]
cg03552151,DYNLRB1,dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]
cg03552658,CHMP2A,charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]
cg03585969,CREM,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
cg03915945,TFB1M,transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]
cg03941587,FGF2,fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]
cg03948207,PHTF1,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
cg03980304,IL4R,interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]
cg04016768,IGSF8,immunoglobulin superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:17813]
cg04143346,AGL,amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]
cg04313173,RELT,RELT, TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]
cg04334324,ZNF530,zinc finger protein 530 [Source:HGNC Symbol;Acc:HGNC:29297]
cg04344917,KIF11,kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]
cg04518477,METTL9,methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]
cg04521765,LOXL4,lysyl oxidase like 4 [Source:HGNC Symbol;Acc:HGNC:17171]
cg04578090,PROCA1,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]
cg04632671,PPARG,peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]
cg04790800,ZNF839,zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]
cg05238288,PARP4,poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]
cg05401522,NAA16,N(alpha)-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]
cg05471090,CYB5A,cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]
cg05592398,LIMK1,LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]
cg05599030,RPL19,ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]
cg05651688,ZMYM4,zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055]
cg05656830,COMMD3,COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]
cg05778481,NXF1,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]
cg05965430,MCRS1,microspherule protein 1 [Source:HGNC Symbol;Acc:HGNC:6960]
cg05966809,SNX24,sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]
cg06067032,RNF6,ring finger protein 6 [Source:HGNC Symbol;Acc:HGNC:10069]
