id,gene,description
cg00016968,RHOC,ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]
cg00086243,TNFRSF18,TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]
cg00119181,SNCA,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]
cg00119314,RSAD1,radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]
cg00152768,TMEM115,transmembrane protein 115 [Source:HGNC Symbol;Acc:HGNC:30055]
cg00154455,ZNF517,zinc finger protein 517 [Source:HGNC Symbol;Acc:HGNC:27984]
cg00161459,FZD6,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
cg00161556,ZDHHC13,zinc finger DHHC-type containing 13 [Source:HGNC Symbol;Acc:HGNC:18413]
cg00172597,SUSD4,sushi domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25470]
cg00177496,BDH1,3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]
cg00183647,C3orf67,chromosome 3 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:24763]
cg00187671,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
cg00221357,HS6ST1,heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]
cg00231918,SH3BP2,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
cg00237904,H19,H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]
cg00238318,EXOC6,exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]
cg00247748,C3orf19,NA
cg00258873,RPP21,ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]
cg00259887,EBAG9,estrogen receptor binding site associated, antigen, 9 [Source:HGNC Symbol;Acc:HGNC:3123]
cg00261569,C3orf1,NA
cg00261688,WDR75,WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]
cg00268500,UGP2,UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]
cg00280345,GPT,glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]
cg00306198,TTC35,NA
cg00306721,BSCL2,BSCL2, seipin lipid droplet biogenesis associated [Source:HGNC Symbol;Acc:HGNC:15832]
cg00307254,PLXNA1,plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]
cg00313981,TRIM11,tripartite motif containing 11 [Source:HGNC Symbol;Acc:HGNC:16281]
cg00351443,NEURL,NA
cg00399390,FNBP4,formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]
cg00416130,GJA4,gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]
cg00417742,C7orf60,NA
cg00433081,MAPK9,mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]
cg00437399,CASC5,NA
cg00437969,TRIM29,tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]
cg00441434,DPYSL2,dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]
cg00454932,METTL13,methyltransferase like 13 [Source:HGNC Symbol;Acc:HGNC:24248]
cg00459232,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
cg00483459,ALS2CL,ALS2 C-terminal like [Source:HGNC Symbol;Acc:HGNC:20605]
cg00493300,FRG1,FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]
cg00494287,ATXN7L1,ataxin 7 like 1 [Source:HGNC Symbol;Acc:HGNC:22210]
cg00499248,LY6K,lymphocyte antigen 6 family member K [Source:HGNC Symbol;Acc:HGNC:24225]
cg00503458,KIAA0907,NA
cg00505393,E2F1,E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]
cg00507354,G3BP2,G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]
cg00520612,RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]
cg00535466,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]
cg00549463,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]
cg00559179,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
cg00563926,TGFBR3,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
cg00637178,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
cg00640087,MSH5,mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328]
cg00643333,FAM118A,family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]
cg00664682,SLC41A1,solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429]
cg00666746,SYDE1,synapse defective Rho GTPase homolog 1 [Source:HGNC Symbol;Acc:HGNC:25824]
cg00707741,FARP2,FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
cg00724662,NXF1,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]
cg00733746,SFRS15,NA
cg00733782,TRIM24,tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]
cg00754232,TECPR1,tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]
cg00757212,ST8SIA1,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]
cg00771170,DAPK3,death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]
cg00782174,SLC1A5,solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]
cg00796821,KCP,kielin/chordin-like protein [Source:HGNC Symbol;Acc:HGNC:17585]
cg00866814,LMTK3,lemur tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19295]
cg00890840,MYLK,myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]
cg00909993,PTPN4,protein tyrosine phosphatase, non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656]
cg00944433,PRMT6,protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]
cg00950958,TOX2,TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]
cg00960700,TBCD,tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]
cg00969323,DTYMK,deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]
cg00987630,EIF3B,eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]
cg01000553,ASAP3,ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]
cg01004144,SMEK1,NA
cg01024473,CCDC28B,coiled-coil domain containing 28B [Source:HGNC Symbol;Acc:HGNC:28163]
cg01048372,C8orf73,NA
cg01065977,ISYNA1,inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]
cg01089395,CCDC28A,coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098]
cg01092561,PPP1R3B,protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]
cg01107185,ZC3HAV1,zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]
cg01120308,PICALM,phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]
cg01128109,LRRC8B,leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]
cg01132598,TMEM219,transmembrane protein 219 [Source:HGNC Symbol;Acc:HGNC:25201]
cg01154966,TRPC4AP,transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]
cg01156834,SRCIN1,SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]
cg01173611,PATL1,PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]
cg01184522,ZNF496,zinc finger protein 496 [Source:HGNC Symbol;Acc:HGNC:23713]
cg01209271,LPCAT4,lysophosphatidylcholine acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:30059]
cg01247628,SEMA6D,semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]
cg01290153,ZNF628,zinc finger protein 628 [Source:HGNC Symbol;Acc:HGNC:28054]
cg01313363,PLXNB1,plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]
cg01320361,SEC63,SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]
cg01337293,RUNX1,runt related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]
cg01338378,PRKRIP1,PRKR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21894]
cg01354088,KLF11,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
cg01356044,MTSS1L,MTSS1L, I-BAR domain containing [Source:HGNC Symbol;Acc:HGNC:25094]
cg01359962,C3orf39,NA
cg01428115,MDK,midkine [Source:HGNC Symbol;Acc:HGNC:6972]
cg01436526,ECSIT,ECSIT signalling integrator [Source:HGNC Symbol;Acc:HGNC:29548]
cg01442843,RASSF5,Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]
cg01508380,MMP14,matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]
cg01513714,BCL11B,B cell CLL/lymphoma 11B [Source:HGNC Symbol;Acc:HGNC:13222]
cg01530283,RBAK,RB associated KRAB zinc finger [Source:HGNC Symbol;Acc:HGNC:17680]
cg01552059,QARS,glutaminyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:9751]
cg01580888,RHPN2,rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]
cg01604401,BLCAP,bladder cancer associated protein [Source:HGNC Symbol;Acc:HGNC:1055]
cg01642070,ASH2L,ASH2 like histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]
cg01659459,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]
cg01663232,IKZF2,IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]
cg01689311,SFRP4,secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]
cg01720742,HSPC157,NA
cg01758041,COPS6,COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:HGNC:21749]
cg01789150,RPA2,replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]
cg01821126,PDXDC2,NA
cg01894110,FN1,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]
cg01901788,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
cg01965476,PAK6,p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]
cg01978549,PRRG4,proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]
cg01990225,LMAN2L,lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]
cg02108850,MME,membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]
cg02114696,ZNF232,zinc finger protein 232 [Source:HGNC Symbol;Acc:HGNC:13026]
cg02128087,C12orf68,NA
cg02153089,PDDC1,NA
cg02182440,SCOC,short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335]
cg02184697,KREMEN2,kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]
cg02204205,GRB10,growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]
cg02260839,ZNF765,zinc finger protein 765 [Source:HGNC Symbol;Acc:HGNC:25092]
cg02283691,NUDT19,nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]
cg02303805,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]
cg02322203,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]
cg02348711,ETV4,ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493]
cg02366844,STX4,syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]
cg02376163,FBXO38,F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]
cg02393810,VPS26A,VPS26, retromer complex component A [Source:HGNC Symbol;Acc:HGNC:12711]
cg02399048,REEP4,receptor accessory protein 4 [Source:HGNC Symbol;Acc:HGNC:26176]
cg02441090,OXCT1,3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]
cg02464093,DCBLD2,discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]
cg02471346,PLEKHA5,pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]
cg02473680,ABCG1,ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]
cg02473953,RBBP6,RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]
cg02515725,PDLIM3,PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]
cg02525232,C11orf84,NA
cg02589501,USP46,ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]
cg02605776,C1orf103,NA
cg02607340,ACHE,acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]
cg02617702,FCHO1,FCH domain only 1 [Source:HGNC Symbol;Acc:HGNC:29002]
cg02633309,LOC100125556,NA
cg02637948,DIAPH1,diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]
cg02680487,DDR1,discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]
cg02699694,MBOAT2,membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]
cg02717339,ANKRD39,ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]
cg02720697,NFIC,nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]
cg02726883,NF1,neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]
cg02767164,ABI2,abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]
cg02781268,GRSF1,G-rich RNA sequence binding factor 1 [Source:HGNC Symbol;Acc:HGNC:4610]
cg02788597,EIF3J,eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]
cg02836478,HOXB3,homeobox B3 [Source:HGNC Symbol;Acc:HGNC:5114]
cg02843237,ADM,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
cg02868222,SLC33A1,solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95]
cg02868338,EXOSC4,exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]
cg02888166,MEG3,maternally expressed 3 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:14575]
cg02893482,C20orf194,chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]
cg02924534,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]
cg02970551,RUNX3,runt related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]
cg02974126,UBE4B,ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]
cg03009080,MTIF3,mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]
cg03010860,DNAJB12,DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]
cg03017520,DSC3,desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]
cg03021496,OGFRL1,opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]
cg03085712,ATP2C2,ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]
cg03117005,TAF4,TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]
cg03163734,SPRED2,sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]
cg03216085,FANCF,Fanconi anemia complementation group F [Source:HGNC Symbol;Acc:HGNC:3587]
cg03218563,ICK,intestinal cell kinase [Source:HGNC Symbol;Acc:HGNC:21219]
cg03335216,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]
cg03349935,RASL12,RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]
cg03368690,NSMCE1,NSE1 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:29897]
cg03375056,YTHDF2,YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]
cg03388025,SPIRE2,spire type actin nucleation factor 2 [Source:HGNC Symbol;Acc:HGNC:30623]
cg03391657,LOC647121,NA
cg03419014,HLCS,holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976]
cg03474133,CCNI,cyclin I [Source:HGNC Symbol;Acc:HGNC:1595]
cg03523740,TXLNA,taxilin alpha [Source:HGNC Symbol;Acc:HGNC:30685]
cg03534196,DPH5,diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]
cg03539850,PANK1,pantothenate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8598]
cg03551161,OSBP2,oxysterol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8504]
cg03553910,BTN2A1,butyrophilin subfamily 2 member A1 [Source:HGNC Symbol;Acc:HGNC:1136]
cg03575602,CAMK1D,calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]
cg03585263,PKN1,protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]
cg03588376,RPS11,ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]
cg03698765,POP4,POP4 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30081]
cg03698892,IFT81,intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]
cg03712038,ZNF160,zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
cg03716999,RNF207,ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]
cg03736603,FAM64A,NA
cg03753191,EPSTI1,epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]
cg03771448,CCDC136,coiled-coil domain containing 136 [Source:HGNC Symbol;Acc:HGNC:22225]
cg03839554,ACTL6A,actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]
cg03870138,CYBA,cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]
cg03897136,HOOK1,hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]
cg03930474,ING4,inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]
cg03958426,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]
cg03984733,HDHD3,haloacid dehalogenase like hydrolase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28171]
cg04002187,RPL37,ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]
cg04066453,JUP,junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]
cg04086834,SMAP1,small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]
cg04112102,SLC39A10,solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]
cg04118462,RNF13,ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]
cg04206296,DEGS1,delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]
cg04280397,PLA2G6,phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]
cg04313173,RELT,RELT, TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]
cg04350358,NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:21042]
cg04441898,MNT,MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]
cg04495944,ARSG,arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]
cg04542030,BOLA3,bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415]
cg04573175,CDADC1,cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299]
cg04617786,MAK16,MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]
cg04713108,MRPS30,mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]
cg04749104,STEAP3,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]
cg04864179,IRF5,interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]
cg04879387,ABCC1,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]
