id,gene,description
cg00035249,ARF1,ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]
cg00097619,MST1R,macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]
cg00137016,ZNF836,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
cg00151919,SLC25A15,solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]
cg00199549,MCM5,minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]
cg00312474,ERO1LB,NA
cg00328593,ETV1,ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]
cg00514407,SERPINE2,serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]
cg00516870,USP36,ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]
cg00598009,TUBGCP3,tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]
cg00649500,CDKN3,cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
cg00690082,STAT5A,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
cg00819055,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]
cg00822030,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
cg00907549,HEATR1,HEAT repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25517]
cg00993674,ICOSLG,inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]
cg01048751,GPR3,G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]
cg01056775,CYP4V2,cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]
cg01120898,IL1RAP,interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]
cg01132484,TBL1XR1,transducin beta like 1 X-linked receptor 1 [Source:HGNC Symbol;Acc:HGNC:29529]
cg01141645,ASPH,aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]
cg01154966,TRPC4AP,transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]
