gene	description	Freq
ZNF518B	zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]	7
CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	6
TNFSF12	TNF superfamily member 12 [Source:HGNC Symbol;Acc:HGNC:11927]	5
C7orf46	NA	3
C1orf59	NA	3
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]	3
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	2
ACCN3	NA	2
ZBTB38	zinc finger and BTB domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26636]	2
MTX3	metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812]	2
RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	2
CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	2
MGC12982	NA	2
ZNF609	zinc finger protein 609 [Source:HGNC Symbol;Acc:HGNC:29003]	1
DEPDC5	DEP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18423]	1
HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	1
LOC100286793	NA	1
BTBD12	NA	1
CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	1
CSNK1G3	casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]	1
CTPS2	CTP synthase 2 [Source:HGNC Symbol;Acc:HGNC:2520]	1
IFT172	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	1
INTS12	integrator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:25067]	1
KDM3B	lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337]	1
PKP4	plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]	1
SEC31B	SEC31 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:23197]	1
GDAP1	ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]	1
IMPACT	impact RWD domain protein [Source:HGNC Symbol;Acc:HGNC:20387]	1
KIAA0495	NA	1
ZNF697	zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]	1
AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	1
C9orf64	chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]	1
GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	1
HCG11	HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707]	1
LDLRAD2	low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071]	1
TPK1	thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]	1
FAM109B	family with sequence similarity 109 member B [Source:HGNC Symbol;Acc:HGNC:27161]	1
MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	1
PA2G4P4	proliferation-associated 2G4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:32217]	1
B3GALT4	beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]	1
C5orf43	NA	1
MANEAL	mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]	1
SPRY1	sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]	1
PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	1
CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]	1
STAG3L3	stromal antigen 3-like 3 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33845]	1
C20orf194	chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]	1
C21orf56	NA	1
GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	1
MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	1
RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	1
C1orf163	NA	1
ZNF644	zinc finger protein 644 [Source:HGNC Symbol;Acc:HGNC:29222]	1
RAPGEFL1	Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]	1
SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	1
AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	1
MCTP2	multiple C2 and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25636]	1
