id,gene,description
cg00025981,C13orf15,NA
cg00062282,PLXNB2,plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]
cg00072369,MOCS2,molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]
cg00130530,FKBP5,FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]
cg00137016,ZNF836,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
cg00168835,BATF3,basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]
cg00245032,YIPF4,Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]
cg00288824,ATP10A,ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]
cg00313981,TRIM11,tripartite motif containing 11 [Source:HGNC Symbol;Acc:HGNC:16281]
cg00388503,PELI1,pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]
cg00690082,STAT5A,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
cg00731749,ITGA7,integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]
cg00809888,NAAA,N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]
cg00814065,PGP,phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]
cg00908631,CDKN2C,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]
cg00933542,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728]
cg01275297,TGIF2,TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]
cg01319235,ZNF7,zinc finger protein 7 [Source:HGNC Symbol;Acc:HGNC:13139]
cg01337293,RUNX1,runt related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]
cg01590416,ZNF287,zinc finger protein 287 [Source:HGNC Symbol;Acc:HGNC:13502]
cg01697163,SH3BP1,SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]
cg01745420,TMEM123,transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]
cg01747547,ACTR3B,ARP3 actin related protein 3 homolog B [Source:HGNC Symbol;Acc:HGNC:17256]
cg01865108,ITPK1,inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]
cg01942445,HNRNPD,heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]
cg02045294,MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:26689]
cg02181247,ADM,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
cg02221347,DARS,aspartyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:2678]
cg02298193,RNF145,ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]
cg02367949,SESN3,sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]
cg02464563,NAT14,N-acetyltransferase 14 (putative) [Source:HGNC Symbol;Acc:HGNC:28918]
cg02744588,CCDC114,coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:HGNC:26560]
cg02828858,GTF2F2,general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]
cg02855633,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]
cg02857557,INPP5F,inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]
cg02886408,BNIP3,BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]
cg02899960,GLG1,golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]
